region,club,type,distance,date,route,rt_url,rtid,event_url,eid
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAP,108.0,2018/08/18,Apple Cider Sally,/cgi-bin/routesearch_PF.pl?rtid=2301,2301,/cgi-bin/resultsearch_PF.pl?eid=9752&esortby=cert,9752
FL: Central,Central Florida Randonneurs / 909062,ACPB,200.0,2018/08/18,Tour of Pinellas County,/cgi-bin/routesearch_PF.pl?rtid=2297,2297,/cgi-bin/resultsearch_PF.pl?eid=9561&esortby=cert,9561
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAP,120.0,2018/08/18,Lowell Observatory 120k,/cgi-bin/routesearch_PF.pl?rtid=2292,2292,/cgi-bin/resultsearch_PF.pl?eid=9718&esortby=cert,9718
GA: Atlanta,Audax Atlanta / 910004,RUSAP,109.0,2018/08/18,Euharlee 3 BBQ Populaire,/cgi-bin/routesearch_PF.pl?rtid=1489,1489,/cgi-bin/resultsearch_PF.pl?eid=9663&esortby=cert,9663
MO: Kansas City,Audax Kansas City / 925005,ACPB,200.0,2018/08/18,Princeton Roundabout,/cgi-bin/routesearch_PF.pl?rtid=1125,1125,/cgi-bin/resultsearch_PF.pl?eid=9167&esortby=cert,9167
OR: Portland,Oregon Randonneurs / 937020,ACPB,200.0,2018/08/18,Hillsboro-Dallas-Hillsboro,/cgi-bin/routesearch_PF.pl?rtid=996,996,/cgi-bin/resultsearch_PF.pl?eid=9546&esortby=cert,9546
MA: Boston,New England Randonneurs / 921005,ACPB,300.0,2018/08/18,Newport 315km,/cgi-bin/routesearch_PF.pl?rtid=2142,2142,/cgi-bin/resultsearch_PF.pl?eid=9521&esortby=cert,9521
NC: Raleigh,North Carolina Bicycle Club / 933045,ACPB,200.0,2018/08/18,route 227 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=227,227,/cgi-bin/resultsearch_PF.pl?eid=8983&esortby=cert,8983
WA: Seattle,Seattle International Randonneurs / 947018,ACPB,400.0,2018/08/18,SIR Summer 2014 400k,/cgi-bin/routesearch_PF.pl?rtid=1633,1633,/cgi-bin/resultsearch_PF.pl?eid=9498&esortby=cert,9498
NE: Omaha,Nebraska Sandhills Randonneurs / 927005,ACPB,200.0,2018/08/18,Missouri River Valley 200K,/cgi-bin/routesearch_PF.pl?rtid=2282,2282,/cgi-bin/resultsearch_PF.pl?eid=9152&esortby=cert,9152
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,201.0,2018/08/18,Utah Lake 200 (Nephi Start),/cgi-bin/routesearch_PF.pl?rtid=1272,1272,/cgi-bin/resultsearch_PF.pl?eid=9747&esortby=cert,9747
MA: Westfield,Northeast Sport Cyclists / 921033,ACPB,300.0,2018/08/18,route 331 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=331,331,/cgi-bin/resultsearch_PF.pl?eid=9229&esortby=cert,9229
PA: Pittsburgh,Western Pennsylvania Bicycle Club / 938016,RUSAB,200.0,2018/08/18,McConnells Mills,/cgi-bin/routesearch_PF.pl?rtid=1867,1867,/cgi-bin/resultsearch_PF.pl?eid=9750&esortby=cert,9750
CA: San Diego,San Diego Randonneurs / 905140,ACPB,200.0,2018/08/18,San Clemente 200,/cgi-bin/routesearch_PF.pl?rtid=505,505,/cgi-bin/resultsearch_PF.pl?eid=9007&esortby=cert,9007
