region,club,type,distance,date,route,rt_url,rtid,event_url,eid
PA: Pittsburgh,Western Pennsylvania Bicycle Club / 938016,RUSAB,300,2019/09/14,Washington PA - Meyersdale 300k,/cgi-bin/routesearch_PF.pl?rtid=930,930,/cgi-bin/resultsearch_PF.pl?eid=10785&esortby=cert,10785
GA: Atlanta,Audax Atlanta / 910004,RUSAB,200,2019/09/14,Secret Gaps 200k Brevet,/cgi-bin/routesearch_PF.pl?rtid=2145,2145,/cgi-bin/resultsearch_PF.pl?eid=10618&esortby=cert,10618
MT: Bozeman,Gallatin Valley Bicycle Club / 926001,ACPB,200,2019/09/14,Yellowstone National Park South Loop,/cgi-bin/routesearch_PF.pl?rtid=1470,1470,/cgi-bin/resultsearch_PF.pl?eid=10284&esortby=cert,10284
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,400,2019/09/14,Willow Park via Weatherford 400K,/cgi-bin/routesearch_PF.pl?rtid=1494,1494,/cgi-bin/resultsearch_PF.pl?eid=10117&esortby=cert,10117
MI: Detroit,Detroit Randonneurs / 922015,ACPB,200,2019/09/14,Trail Mix,/cgi-bin/routesearch_PF.pl?rtid=1998,1998,/cgi-bin/resultsearch_PF.pl?eid=9906&esortby=cert,9906
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,ACPB,600,2019/09/14,Apple Valley - Winona 600k,/cgi-bin/routesearch_PF.pl?rtid=686,686,/cgi-bin/resultsearch_PF.pl?eid=10336&esortby=cert,10336
MD: Capital Region,DC Randonneurs / 946012,ACPB,200,2019/09/14,Damsels Detour,/cgi-bin/routesearch_PF.pl?rtid=2470,2470,/cgi-bin/resultsearch_PF.pl?eid=10294&esortby=cert,10294
AK: Anchorage,Denali Randonneurs / 902007,RUSAP,100,2019/09/14,Homer 100k,/cgi-bin/routesearch_PF.pl?rtid=2136,2136,/cgi-bin/resultsearch_PF.pl?eid=9775&esortby=cert,9775
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,400,2019/09/14,Poudre Canyon 400K,/cgi-bin/routesearch_PF.pl?rtid=1582,1582,/cgi-bin/resultsearch_PF.pl?eid=10508&esortby=cert,10508
AL: Birmingham,Montgomery Bicycle Club / 901005,ACPB,300,2019/09/14,Prattville 300K,/cgi-bin/routesearch_PF.pl?rtid=1157,1157,/cgi-bin/resultsearch_PF.pl?eid=9788&esortby=cert,9788
NY: Central/Western,Finger Lakes Randonneurs / 932007,ACPB,200,2019/09/14,200 LR_2 Seaway Diner Ride,/cgi-bin/routesearch_PF.pl?rtid=1325,1325,/cgi-bin/resultsearch_PF.pl?eid=10555&esortby=cert,10555
WA: Seattle,Seattle International Randonneurs / 947018,ACPB,1000,2019/09/14,2019 Sep 1000k,/cgi-bin/routesearch_PF.pl?rtid=2483,2483,/cgi-bin/resultsearch_PF.pl?eid=10192&esortby=cert,10192
AK: Anchorage,Denali Randonneurs / 902007,ACPB,200,2019/09/14,route 705 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=705,705,/cgi-bin/resultsearch_PF.pl?eid=9776&esortby=cert,9776
SD: Sioux Falls,Falls Area Randonneurs / 941005,ACPB,200,2019/09/15,Wandering Around in Walleye County,/cgi-bin/routesearch_PF.pl?rtid=2140,2140,/cgi-bin/resultsearch_PF.pl?eid=9876&esortby=cert,9876
FL: Central,Central Florida Randonneurs / 909062,RUSAB,1000,2019/09/20,Pine Island 1000K,/cgi-bin/routesearch_PF.pl?rtid=2478,2478,/cgi-bin/resultsearch_PF.pl?eid=10774&esortby=cert,10774
IL: Chicago,Great Lakes Randonneurs / 913005,ACPB,200,2019/09/21,Evanston Bull Valley 200k,/cgi-bin/routesearch_PF.pl?rtid=2394,2394,/cgi-bin/resultsearch_PF.pl?eid=10221&esortby=cert,10221
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,ACPB,200,2019/09/21,Further North to Siren,/cgi-bin/routesearch_PF.pl?rtid=2180,2180,/cgi-bin/resultsearch_PF.pl?eid=10338&esortby=cert,10338
NC: Raleigh,North Carolina Bicycle Club / 933045,RUSAP,100,2019/09/21,route 655 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=655,655,/cgi-bin/resultsearch_PF.pl?eid=9974&esortby=cert,9974
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAF,200,2019/09/21,?,,,/cgi-bin/resultsearch_PF.pl?eid=10505&esortby=cert,10505
AK: Anchorage,Denali Randonneurs / 902007,RUSAP,100,2019/09/21,Nord 100,/cgi-bin/routesearch_PF.pl?rtid=943,943,/cgi-bin/resultsearch_PF.pl?eid=9777&esortby=cert,9777
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,ACPB,400,2019/09/21,Outlaw 400k,/cgi-bin/routesearch_PF.pl?rtid=2062,2062,/cgi-bin/resultsearch_PF.pl?eid=10516&esortby=cert,10516
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,123,2019/09/21,Osceola 2 Luck,/cgi-bin/routesearch_PF.pl?rtid=2146,2146,/cgi-bin/resultsearch_PF.pl?eid=10337&esortby=cert,10337
CA: Santa Rosa,Santa Rosa Randonneurs / 905171,ACPB,200,2019/09/21,Nov-Caz 200K,/cgi-bin/routesearch_PF.pl?rtid=1376,1376,/cgi-bin/resultsearch_PF.pl?eid=10068&esortby=cert,10068
CA: San Diego,San Diego Randonneurs / 905140,ACPB,1000,2019/09/21,LoCal through SoCal 1000k,/cgi-bin/routesearch_PF.pl?rtid=2245,2245,/cgi-bin/resultsearch_PF.pl?eid=9947&esortby=cert,9947
MO: Kansas City,Audax Kansas City / 925005,ACPB,300,2019/09/21,Columbia - Paris 300K,/cgi-bin/routesearch_PF.pl?rtid=2295,2295,/cgi-bin/resultsearch_PF.pl?eid=9858&esortby=cert,9858
WA: Seattle,Seattle International Randonneurs / 947018,RUSAF,120,2019/09/21,?,,,/cgi-bin/resultsearch_PF.pl?eid=10193&esortby=cert,10193
MO: Kansas City,Audax Kansas City / 925005,ACPB,200,2019/09/21,Columbia - Higbee 208K Loop,/cgi-bin/routesearch_PF.pl?rtid=2163,2163,/cgi-bin/resultsearch_PF.pl?eid=9859&esortby=cert,9859
NC: Raleigh,North Carolina Bicycle Club / 933045,ACPB,200,2019/09/21,route 227 (unnamed),/cgi-bin/routesearch_PF.pl?rtid=227,227,/cgi-bin/resultsearch_PF.pl?eid=9973&esortby=cert,9973
PA: Pittsburgh,Western Pennsylvania Bicycle Club / 938016,RUSAB,207,2019/09/22,Pgh Weirton Monongahela 200k,/cgi-bin/routesearch_PF.pl?rtid=1359,1359,/cgi-bin/resultsearch_PF.pl?eid=10964&esortby=cert,10964
MO: Kansas City,Audax Kansas City / 925005,ACPB,200,2019/09/22,Boonville - California 200K Loop,/cgi-bin/routesearch_PF.pl?rtid=2164,2164,/cgi-bin/resultsearch_PF.pl?eid=9860&esortby=cert,9860
MO: Kansas City,Audax Kansas City / 925005,RUSAP,100,2019/09/22,Columbia 100k,/cgi-bin/routesearch_PF.pl?rtid=2302,2302,/cgi-bin/resultsearch_PF.pl?eid=9861&esortby=cert,9861
TX: Houston,Houston Randonneurs / 943030,RUSAB,400,2019/09/28,Brookshire-Columbus 400K,/cgi-bin/routesearch_PF.pl?rtid=1064,1064,/cgi-bin/resultsearch_PF.pl?eid=10031&esortby=cert,10031
MO: St. Louis,St Louis Randonneurs / 925006,ACPB,200,2019/09/28,Randy Johnson 200k,/cgi-bin/routesearch_PF.pl?rtid=2479,2479,/cgi-bin/resultsearch_PF.pl?eid=10536&esortby=cert,10536
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2019/09/28,OK is OK 309,/cgi-bin/routesearch_PF.pl?rtid=614,614,/cgi-bin/resultsearch_PF.pl?eid=10119&esortby=cert,10119
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,ACPB,200,2019/09/28,William Dodd Road Ramble,/cgi-bin/routesearch_PF.pl?rtid=1631,1631,/cgi-bin/resultsearch_PF.pl?eid=10339&esortby=cert,10339
MA: Boston,New England Randonneurs / 921005,RUSAB,204,2019/09/28,Old Stone House 200k,/cgi-bin/routesearch_PF.pl?rtid=2486,2486,/cgi-bin/resultsearch_PF.pl?eid=10458&esortby=cert,10458
TX: Austin,Hill Country Randonneurs / 943025,RUSAB,200,2019/09/28,Damit2,/cgi-bin/routesearch_PF.pl?rtid=2482,2482,/cgi-bin/resultsearch_PF.pl?eid=9828&esortby=cert,9828
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,400,2019/09/28,OK is OK 400,/cgi-bin/routesearch_PF.pl?rtid=615,615,/cgi-bin/resultsearch_PF.pl?eid=10120&esortby=cert,10120
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2019/09/28,OK is OK 217,/cgi-bin/routesearch_PF.pl?rtid=613,613,/cgi-bin/resultsearch_PF.pl?eid=10118&esortby=cert,10118
