region,club,type,distance,date,finishers,dnf,eid
OR: Portland,Oregon Randonneurs / 937020,RUSAP,100.0,2018/03/17,16,2.0,9538
TX: Houston,Houston Randonneurs / 943030,ACPB,600.0,2018/03/17,1,0.0,9106
PA: Pittsburgh,Western Pennsylvania Bicycle Club / 938016,RUSAP,103.0,2018/03/17,8,0.0,8984
TX: Brownsville,RGV Randos / 943005,RUSAP,100.0,2018/03/17,18,1.0,9067
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAP,108.0,2018/03/18,11,0.0,9653
MA: Westfield,Northeast Sport Cyclists / 921033,RUSAP,100.0,2018/03/18,18,3.0,9216
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200.0,2018/03/24,34,1.0,9338
NC: High Point,Bicycle For Life Club / 933057,ACPB,600.0,2018/03/24,1,1.0,9409
PA: Eastern,Pennsylvania Randonneurs / 938017,ACPB,200.0,2018/03/24,25,0.0,9135
PA: Pittsburgh,Western Pennsylvania Bicycle Club / 938016,ACPB,200.0,2018/03/24,7,0.0,8985
MO: Kansas City,Audax Kansas City / 925005,RUSAP,103.0,2018/03/24,13,5.0,9669
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,300.0,2018/03/24,4,1.0,9395
MA: Boston,New England Randonneurs / 921005,ACPB,200.0,2018/03/24,43,2.0,9508
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,400.0,2018/03/24,15,1.0,9580
TX: West Texas,West Texas Randonneurs / 943003,ACPB,400.0,2018/03/24,3,0.0,8890
VA: Tidewater,Tidewater Randonneurs / 946002,ACPB,200.0,2018/03/24,3,0.0,8989
PR: San Juan,Puerto Rico Randonneurs / 952003,ACPB,600.0,2018/03/24,6,0.0,8840
TX: Austin,Hill Country Randonneurs / 943025,ACPB,400.0,2018/03/24,7,0.0,8970
MO: St. Louis,St Louis Cycling Club / 925034,ACPB,200.0,2018/03/24,1,0.0,9266
OR: Eugene,South Willamette Randonneurs / 937003,ACPB,200.0,2018/03/24,9,0.0,9429
NC: High Point,Bicycle For Life Club / 933057,ACPB,1000.0,2018/03/24,7,1.0,9410
CA: Los Angeles,Channel Islands Bike Club / 905082,ACPB,600.0,2018/03/24,9,9.0,9581
CA: Davis,Davis Bike Club / 905014,ACPB,300.0,2018/03/24,31,3.0,9439
AZ: Tucson,PAC Tour / 949005,ACPB,200.0,2018/03/24,4,1.0,8885
WA: Seattle,Seattle International Randonneurs / 947018,ACPB,200.0,2018/03/24,39,0.0,9486
MO: St. Louis,St Louis Cycling Club / 925034,ACPB,300.0,2018/03/24,0,,9267
OH: Columbus,Ohio Randonneurs / 935012,ACPB,200.0,2018/03/24,19,1.0,8873
NY: Central/Western,Rochester Bicycling Club / 932030,ACPB,200.0,2018/03/25,2,0.0,9471
NY: Saratoga,Upstate NY Brevet Series / 932034,ACPB,200.0,2018/03/25,2,0.0,9185
MA: Westfield,Northeast Sport Cyclists / 921033,ACPB,200.0,2018/03/25,18,1.0,9217
AL: Birmingham,Montgomery Bicycle Club / 901005,ACPB,200.0,2018/03/31,3,0.0,8903
